"","Restaurant","User-Rating","No-Ratings","Address","City","Location","RestaurantLatitude","RestaurantLongitude","CenterLatitude","CenterLongitude","DistanceCityCenter","DistanceCEU","margherita_pizza_price","beverage_price","Tags"
"72","Pörkölõ extra",4.3,109,"Üllõi út 121","Budapest","Nagyvárad Gyógyszertár, 121, Üllõi út, Középsõ-Ferencváros, Budapest, Közép-Magyarország, 1091, Magyarország",47.4791363,19.0883315,47.4983815,19.0404707,"4.193694969751101 km","3.7604397915647234 km","1990",NA,"PizzaReggelizõhelyMagyarosReggelizõhelyKészpénzes fizetés"
"73","Príma Pizza",4.8,139,"Ady Endre utca 9","Miskolc","9, Ady Endre utca, Zsolcai kapu, Miskolc, Miskolci járás, Borsod-Abaúj-Zemplén megye, Észak-Magyarország, Alföld és Észak, 3527, Magyarország",48.1041107,20.790662846051,48.1031503,20.7901985,"0.11224913391423354 km","146.61408655412137 km","1350","320","PizzaKészpénzes fizetés"
"74","Ragazzi Pizza & Burger",4,144,"Lajos utca 98","Budapest","Vidocq Étterem, 98, Lajos utca, Óbuda, III. kerület, Budapest, Közép-Magyarország, 1036, Magyarország",47.5330609,19.0407838,47.4983815,19.0404707,"3.855758852990389 km","3.6427092702598696 km","1590",NA,"HamburgerPizzaKészpénzes fizetés"
"75","Replay Café & Restaurant",4.6,45,"Király utca 4","Pécs","4, Király utca, Zidina, Belváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7621, Magyarország",46.0761579,18.2291534,46.0763222,18.2280746,"0.08542742373811299 km","170.33779905030522 km","1790",NA,"PizzaOlaszNemzetköziMexikóiHamburger"
"76","Rossita",4.8,629,"Meggyesalja u. 18","Miskolc","Rossita kisvendéglõ, 18, Meggyesalja utca, Muszkástelep, Vologda, Miskolc, Miskolci járás, Borsod-Abaúj-Zemplén megye, Észak-Magyarország, Alföld és Észak, 3530, Magyarország",48.101483,20.772383,48.1031503,20.7901985,"1.3397460029948483 km","145.26623541333012 km","1350","490","OlaszPizzaKészpénzes fizetés"
"77","Rudi & Fickó",4.8,26,"Oroszlán utca 4","Szeged","4, Oroszlán utca, Franciahögy lakópark, Belváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6720, Magyarország",46.2511052,20.1492005,46.2546312,20.1486016,"0.3946482834349456 km","162.2416253542448 km","2190",NA,"PizzaNetPincér GOSZÉP kártyás fizetésÉrintkezésmentes kiszállítás"
"78","Rustica Pizzéria",4.6,40,"Szentháromság utca 6","Szeged","Bohém Tanya, 6, Szentháromság utca, Franciahögy lakópark, Belváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6722, Magyarország",46.2471009,20.1455791,46.2546312,20.1486016,"0.8688832955636241 km","162.48250984792776 km","1440",NA,"NemzetköziPizzaKészpénzes fizetésSZÉP kártyás fizetés"
"79","Salt and Pepper",4.8,923,"Antall József utca 24","Debrecen","Antall József utca, Miklóskapu, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4025, Magyarország",47.5236162,21.6233505,47.531399,21.6259782,"0.8876373874478637 km","193.83606878374158 km","1790","400","PizzaHamburgerAlgidaKészpénzes fizetésSZÉP kártyás fizetés"
"80","Station Bistro",4.7,385,"Petõfi tér 10","Debrecen","Petõfi presszó, 10, Petõfi tér, Ispotály, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4025, Magyarország",47.5210074,21.6268256,47.531399,21.6259782,"1.1571105243718227 km","194.09903215487742 km","1750","390","OlaszHamburgerAmerikaiPizzaKészpénzes fizetés"
"81","Street Magic",4.1,197,"Búza utca 6","Budapest","Három Haver Sörözõ, 6, Búza utca, Kaszásdûlõi lakótelep, III. kerület, Budapest, Közép-Magyarország, 1033, Magyarország",47.5581132,19.0449152,47.4983815,19.0404707,"6.649466558061807 km","6.371245040996358 km","1690",NA,"MexikóiHamburgerAmerikaiSalátaPizza"
"82","Tímár26 Pizza",4.9,207,"Tímár utca 26","Pécs","Tímár utca, Zidina, Siklósi városrész, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7621, Magyarország",46.0745592,18.2339055,46.0763222,18.2280746,"0.4917949147795442 km","170.37033450888777 km","2030",NA,"PizzaKészpénzes fizetésSZÉP kártyás fizetés"
"83","Trattoria La Coppola",4.5,43,"Károlyi utca 19","Budapest","La Coppola, 19, Károlyi utca, Belváros, Budapest, Közép-Magyarország, 1053, Magyarország",47.4914492,19.0578404,47.4983815,19.0404707,"1.5188971314480084 km","1.2014922272152793 km","1990",NA,"PizzaOlaszNetPincér GOSZÉP kártyás fizetésÉrintkezésmentes kiszállítás"
"84","Trattoria Pizzeria Monza",4.1,7,"Krúdy Gyula utca 2","Budapest","Don Leone, 2, Krúdy Gyula utca, Palotanegyed, Budapest, Közép-Magyarország, 1088, Magyarország",47.4901869,19.0668324,47.4983815,19.0404707,"2.1853720807611423 km","1.732772379093565 km","1425",NA,"TésztaPizzaNetPincér GOSZÉP kártyás fizetésÉrintkezésmentes kiszállítás"
"85","Trattoria Toscana",4.7,98,"Belgrád rakpart 13","Budapest","L'enoteca, 13-15, Belgrád rakpart, Belváros, Budapest, Közép-Magyarország, 1056, Magyarország",47.4886851,19.0545842,47.4983815,19.0404707,"1.514334027104914 km","1.4004121824495017 km","2790",NA,"PizzaOlaszÉtelérzékenyeknek isKészpénzes fizetésSZÉP kártyás fizetés"
"86","Trattoria Za-Za",4.3,109,"Ráday utca 16","Budapest","Trattoria, 16, Ráday utca, Belsõ-Ferencváros, Budapest, Közép-Magyarország, 1092, Magyarország",47.4875924,19.0631314,47.4983815,19.0404707,"2.0867842083003314 km","1.7751049637948493 km","1290",NA,"OlaszMagyarosPizzaKészpénzes fizetésSZÉP kártyás fizetés"
"87","Turbó Pizza",4.7,258,"Tisza Lajos Körút 59","Szeged","Bagolyvárium (Körúti Antikvárium), 59, Tisza Lajos körút, Franciahögy lakópark, Belváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6722, Magyarország",46.2532347,20.1452516,46.2546312,20.1486016,"0.3013661555644085 km","161.88271177573876 km","1190",NA,"OlaszPizzaKészpénzes fizetés"
"88","UNI-Pizza",4.4,15,"Egyetemváros A/6","Miskolc","Egyetemváros, Miskolc, Miskolci járás, Borsod-Abaúj-Zemplén megye, Észak-Magyarország, Alföld és Észak, 3515, Magyarország",48.0811234,20.766029,48.1031503,20.7901985,"3.03978018398194 km","143.83670224896508 km","1490",NA,"PizzaKészpénzes fizetésSZÉP kártyás fizetés"
"89","Upps a la Pasta, Pizza & Bar",4.2,47,"Egyetem tér 1","Debrecen","Koli Klub, 1, Egyetem tér, Sestakert, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4032, Magyarország",47.5556013,21.6235573,47.531399,21.6259782,"2.697011172750957 km","193.87163994618447 km","1390","420","NemzetköziTésztaPizzaTésztaKészpénzes fizetés"
"90","Vidocq Étterem",4,130,"Lajos utca 98","Budapest","Vidocq Étterem, 98, Lajos utca, Óbuda, III. kerület, Budapest, Közép-Magyarország, 1036, Magyarország",47.5330609,19.0407838,47.4983815,19.0404707,"3.855758852990389 km","3.6427092702598696 km","1680",NA,"OlaszMagyarosPizzaKészpénzes fizetés"
"91","Zero Street Food",4.5,97,"Jókai utca 1","Szeged","Burger King, 1, Jókai utca, Franciahögy lakópark, Belváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6720, Magyarország",46.2494411,20.1457438,46.2546312,20.1486016,"0.6175671862367735 km","162.26495639141714 km","1990",NA,"PizzaAmerikaiHamburgerÉtelérzékenyeknek isKészpénzes fizetés"
