"","Restaurant","User-Rating","No-Ratings","Address","City","Location","RestaurantLatitude","RestaurantLongitude","CenterLatitude","CenterLongitude","DistanceCityCenter","DistanceCEU","margherita_pizza_price","beverage_price","Tags"
"17","Don Pepe - Pécs",4.7,878,"Megyeri út 76","Pécs","Pécs Pláza posta, 76, Megyeri út, Kertváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7609, Magyarország",46.0495757,18.210868,46.0763222,18.2280746,"3.257440977129086 km","173.60471477782158 km","1890","450","OlaszNemzetköziMagyarosHamburgerVegán"
"18","Donkey Pizza",4.7,479,"Rákóczi út 50","Pécs","Rákóczi út, Puturluk, Budai városrész, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7626, Magyarország",46.0748645,18.2398524,46.0763222,18.2280746,"0.9253990501481445 km","170.17310681187567 km","1400",NA,"PizzaAlgidaKészpénzes fizetés"
"19","Elefántos Étterem és Pizzéria",4.6,49,"Jókai tér 6","Pécs","Elefántos étterem és pizzéria, 6, Jókai tér, Schlauch-villatelep, Belváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7621, Magyarország",46.0756034,18.2273436,46.0763222,18.2280746,"0.09788341736701789 km","170.44610224431275 km","1450",NA,"PizzaOlaszAlgidaKészpénzes fizetésSZÉP kártyás fizetés"
"20","Enrico from Sicily",3.9,35,"Váci utca 41","Budapest","Paparazzi, 41/a, Váci utca, Belváros, Budapest, Közép-Magyarország, 1056, Magyarország",47.4915752,19.0537983,47.4983815,19.0404707,"1.257435597577912 km","1.074401314601633 km","1890",NA,"PizzaOlaszKészpénzes fizetésSZÉP kártyás fizetés"
"21","Ernesto Pizzéria - Pécs",4.3,66,"József Attila utca 41","Pécs","Gól sörözõ, 41, József Attila utca, Solidus Lakópark, Ispitaalja, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7623, Magyarország",46.070713,18.215733,46.0763222,18.2280746,"1.140298312187121 km","171.2803071824634 km","1450",NA,"OlaszMagyarosHamburgerAmerikaiPizza"
"22","Etna Házhozszállítás",4.7,226,"Kertész utca 48","Budapest","Szimpla kávézó, 48, Kertész utca, Ligetváros, Erzsébetváros, VII. kerület, Közép-Magyarország, 1073, Magyarország",47.5022659,19.0649928,47.4983815,19.0404707,"1.8973746813250858 km","1.1278386238578129 km","2100","490","OlaszPizzaÉtelérzékenyeknek isKészpénzes fizetés"
"23","Európa Pizzéria",NA,NA,"Váci utca 45","Budapest","Európa Kávézó, 45, Váci utca, Belváros, Budapest, Közép-Magyarország, 1056, Magyarország",47.4909367,19.0543783,47.4983815,19.0404707,"1.3354112103205165 km","1.1544511281116037 km","1690",NA,"PizzaNetPincér GOSZÉP kártyás fizetésÉrintkezésmentes kiszállítás"
"24","Fõnix Pizzéria",4.8,371,"Hunyadi utca 2","Pécs","Hunyadi János utca, Zidina, Mecsekoldal, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7625, Magyarország",46.0890802,18.2240858,46.0763222,18.2280746,"1.4512630456391997 km","169.14416351590728 km","1690",NA,"OlaszPizzaKészpénzes fizetés"
"25","Full Pizza",4.5,229,"Sarló utca 2","Debrecen","Valhalla Sörözõ, 2, Sarló utca, Sámsonikert, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4028, Magyarország",47.5382002,21.6397525,47.531399,21.6259782,"1.2835118769096603 km","195.07197769317185 km","1550","390","PizzaKészpénzes fizetésSZÉP kártyás fizetés"
"26","GP Ring (Grappa Pizzéria)",4.6,81,"Szaturnusz utca 2","Pécs","Szaturnusz utca, Málom, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7636, Magyarország",46.0297073,18.2176781,46.0763222,18.2280746,"5.243452470671568 km","175.4740917379998 km","1410",NA,"OlaszPizzaAlgidaKészpénzes fizetésSZÉP kártyás fizetés"
