"","Restaurant","Product_Name","Price","User-Rating","No-Ratings","Address","Feature1","Feature2","Feature3","Feature4","Feature5","City","ProperAddress","Location","RestaurantLatitude","RestaurantLongitude","CenterLatitude","CenterLongitude","distance","size"
"17","Bellozzo - Oktogon","Margherita pizza (24cm)","1140",4.7,501,"Oktogon 1","Pizza","Tészta","Olasz","NetPincér GO","SZÉP kártyás fizetés","Budapest","Budapest Oktogon 1","Citibank, 1, Oktogon, Terézváros, Budapest, Közép-Magyarország, 1066, Magyarország",47.5050118,19.0627002,47.4983815,19.0404707,"1.8298489919171572 km","24"
"18","Bíbor Pizza","Margherita pizza (32cm)","1690",4.5,44,"Népfürdõ utca 17","Pizza","Készpénzes fizetés",NA,NA,NA,"Budapest","Budapest Népfürdõ utca 17","17/e, Népfürdõ utca, Vizafogó, XIII. kerület, Közép-Magyarország, 1138, Magyarország",47.5316225,19.0589072,47.4983815,19.0404707,"3.9480488429433525 km","32"
"19","Bonnie Restro Comics","Margherita pizza (32cm)","1790",5,26,"Ferenciek tere 5","Nemzetközi","Pizza","NetPincér GO","SZÉP kártyás fizetés","Érintkezésmentes kiszállítás","Budapest","Budapest Ferenciek tere 5","Ibolya espresso, 5, Ferenciek tere, Belváros, Budapest, Közép-Magyarország, 1053, Magyarország",47.4922815,19.0564725,47.4983815,19.0404707,"1.3833887889540222 km","32"
"20","Boss Pizzéria és Hamburger Bár","Margaréta pizza (30cm)","1415",5,1,"Dorozsmai út 191","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Szeged","Szeged Dorozsmai út 191","Dorozsmai út, Iparváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6728, Magyarország",46.2668937,20.1075888,46.2546312,20.1486016,"3.44330518928121 km","30"
"21","Boss Pizzéria és Hamburger Bár","Margaréta pizza (26cm)","1218",5,1,"Dorozsmai út 191","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Szeged","Szeged Dorozsmai út 191","Dorozsmai út, Iparváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6728, Magyarország",46.2668937,20.1075888,46.2546312,20.1486016,"3.44330518928121 km","26"
"22","Boss Pizzéria és Hamburger Bár","Margaréta pizza (50cm)","3738",5,1,"Dorozsmai út 191","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Szeged","Szeged Dorozsmai út 191","Dorozsmai út, Iparváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6728, Magyarország",46.2668937,20.1075888,46.2546312,20.1486016,"3.44330518928121 km","50"
"23","Boulevard Kitchen","Marghareta pizza (32cm)","1950",4.4,5,"Erzsébet körút 12","Pizza","NetPincér GO","SZÉP kártyás fizetés","Érintkezésmentes kiszállítás",NA,"Budapest","Budapest Erzsébet körút 12","10-12, Erzsébet körút, Ligetváros, Erzsébetváros, VII. kerület, Közép-Magyarország, 1073, Magyarország",47.4987101,19.0698424,47.4983815,19.0404707,"2.213331290057507 km","32"
"24","Campus ízmûvek és látványpizzéria","Margherita pizza (32cm)","1690",4.6,13,"Vitéz utca 24","Pizza","NetPincér GO","SZÉP kártyás fizetés","Érintkezésmentes kiszállítás",NA,"Szeged","Szeged Vitéz utca 24","Campus Beer&More, 24, Vitéz utca, Franciahögy lakópark, Belváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6722, Magyarország",46.2475652,20.1425832573915,46.2546312,20.1486016,"0.9122922357742583 km","32"
"25","Campus ízmûvek és látványpizzéria","Margherita prima pizza (32cm)","2090",4.6,13,"Vitéz utca 24","Pizza","NetPincér GO","SZÉP kártyás fizetés","Érintkezésmentes kiszállítás",NA,"Szeged","Szeged Vitéz utca 24","Campus Beer&More, 24, Vitéz utca, Franciahögy lakópark, Belváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6722, Magyarország",46.2475652,20.1425832573915,46.2546312,20.1486016,"0.9122922357742583 km","32"
"26","Campus ízmûvek és látványpizzéria","Campus margherita prémium pizza (32cm) vargányával fûszerezve","3090",4.6,13,"Vitéz utca 24","Pizza","NetPincér GO","SZÉP kártyás fizetés","Érintkezésmentes kiszállítás",NA,"Szeged","Szeged Vitéz utca 24","Campus Beer&More, 24, Vitéz utca, Franciahögy lakópark, Belváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6722, Magyarország",46.2475652,20.1425832573915,46.2546312,20.1486016,"0.9122922357742583 km","32"
"27","Casa Mia Trattoria","Margherita pizza (32cm)","1690",4.2,12,"Pozsonyi út 37","Olasz","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,"Budapest","Budapest Pozsonyi út 37","Pozsonyi út, Újlipótváros, XIII. kerület, Budapest, Közép-Magyarország, 1137, Magyarország",47.5154445,19.0495356,47.4983815,19.0404707,"2.016244466333202 km","32"
"28","Casanova Pizza","Margaréta pizza (45cm)","2490",3.5,112,"Baross Gábor utca 27","Olasz","Magyaros","Mexikói","Hamburger","Amerikai","Debrecen","Debrecen Baross Gábor utca 27","Baross Gábor utca, Kandia, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4029, Magyarország",47.5300366,21.6376453,47.531399,21.6259782,"0.8914907305111487 km","45"
"29","Casanova Pizza","Margaréta pizza (25 cm)","1290",3.5,112,"Baross Gábor utca 27","Olasz","Magyaros","Mexikói","Hamburger","Amerikai","Debrecen","Debrecen Baross Gábor utca 27","Baross Gábor utca, Kandia, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4029, Magyarország",47.5300366,21.6376453,47.531399,21.6259782,"0.8914907305111487 km","25"
"30","Casanova Pizza","Margaréta pizza (30cm)","1290",3.5,112,"Baross Gábor utca 27","Olasz","Magyaros","Mexikói","Hamburger","Amerikai","Debrecen","Debrecen Baross Gábor utca 27","Baross Gábor utca, Kandia, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4029, Magyarország",47.5300366,21.6376453,47.531399,21.6259782,"0.8914907305111487 km","30"
"31","Casanova Pizza","Margaréta pizza (60cm)","3590",3.5,112,"Baross Gábor utca 27","Olasz","Magyaros","Mexikói","Hamburger","Amerikai","Debrecen","Debrecen Baross Gábor utca 27","Baross Gábor utca, Kandia, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4029, Magyarország",47.5300366,21.6376453,47.531399,21.6259782,"0.8914907305111487 km","60"
"32","Chef House","Margarita (32cm)","1450",4.7,50,"Egyetemváros A/6.","Pizza","Magyaros","Hamburger","Készpénzes fizetés",NA,"Miskolc","Miskolc Egyetemváros A/6.","Egyetemváros, Miskolc, Miskolci járás, Borsod-Abaúj-Zemplén megye, Észak-Magyarország, Alföld és Észak, 3515, Magyarország",48.0811234,20.766029,48.1031503,20.7901985,"3.03978018398194 km","32"
"33","Ciao Italia","Margherita pizza (32cm)","1650",3.7,11,"Erzsébet körút 50","Olasz","Tészta","Pizza","NetPincér GO","SZÉP kártyás fizetés","Budapest","Budapest Erzsébet körút 50","Ciao Italia, 50, Erzsébet körút, Ligetváros, Erzsébetváros, VII. kerület, Közép-Magyarország, 1073, Magyarország",47.5023114,19.0664936,47.4983815,19.0404707,"2.008739967158433 km","32"
"34","Clooney Étterem és Pizza","Margherita pizza (32cm)","1790",2.8,5,"Nyugati tér 6","Magyaros","Hamburger","Pizza","NetPincér GO","SZÉP kártyás fizetés","Budapest","Budapest Nyugati tér 6","Nyugati tér, Terézváros, VI. kerület, Budapest, Közép-Magyarország, 1065, Magyarország",47.5103735,19.0556197,47.4983815,19.0404707,"1.7550393055960771 km","32"
"35","Corleone Ristorante","Margherita pizza (32cm)","1290",4.5,138,"Simonffy utca 7","Olasz","Tészta","Pizza","Tészta","Készpénzes fizetés","Debrecen","Debrecen Simonffy utca 7","Halköz apartman, 7, Simonffy utca, Belváros, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4025, Magyarország",47.5291219,21.6228268,47.531399,21.6259782,"0.3469975045048143 km","32"
"36","Da Giovanni Pizzéria - 7. kerület","Margherita pizza (32cm)","1420",4.3,12,"Dohány utca 88","Olasz","Pizza","Algida","Készpénzes fizetés","SZÉP kártyás fizetés","Budapest","Budapest Dohány utca 88","Budapesti Bárczi Gusztáv Óvoda, Általános Iskola és Készségfejlesztõ Speciális Szakiskola, 88, Dohány utca, Ligetváros, Erzsébetváros, VII. kerület, Budapest, Közép-Magyarország, 1074, Magyarország",47.5004935,19.0730636,47.4983815,19.0404707,"2.4668924559479533 km","32"
"37","Da Mario Budapest","Margherita con prosciutto di Parma pizza (32cm)","3500",NA,NA,"Vécsey utca 3","Pizza","Tészta","Olasz","NetPincér GO","SZÉP kártyás fizetés","Budapest","Budapest Vécsey utca 3","Da Mario, 3, Vécsey utca, Lipótváros, Budapest, Közép-Magyarország, 1054, Magyarország",47.505243,19.049433,47.4983815,19.0404707,"1.0187726535384314 km","32"
"38","Da Mario Budapest","Margerita con cotto pizza (32cm)","2900",NA,NA,"Vécsey utca 3","Pizza","Tészta","Olasz","NetPincér GO","SZÉP kártyás fizetés","Budapest","Budapest Vécsey utca 3","Da Mario, 3, Vécsey utca, Lipótváros, Budapest, Közép-Magyarország, 1054, Magyarország",47.505243,19.049433,47.4983815,19.0404707,"1.0187726535384314 km","32"
"39","Da Mario Budapest","Margerita pizza (32cm)","2400",NA,NA,"Vécsey utca 3","Pizza","Tészta","Olasz","NetPincér GO","SZÉP kártyás fizetés","Budapest","Budapest Vécsey utca 3","Da Mario, 3, Vécsey utca, Lipótváros, Budapest, Közép-Magyarország, 1054, Magyarország",47.505243,19.049433,47.4983815,19.0404707,"1.0187726535384314 km","32"
"40","Den Haag Pizzéria","Margaréta pizza (28cm) (vega)","1500",4.8,51,"Dohány utca 5","Pizza","Algida","NetPincér GO","SZÉP kártyás fizetés","Érintkezésmentes kiszállítás","Budapest","Budapest Dohány utca 5","KOLBice Dohány STR, 5/a, Dohány utca, Erzsébetváros, Budapest, Közép-Magyarország, 1074, Magyarország",47.4954114,19.0614601,47.4983815,19.0404707,"1.6156161759081067 km","28"
"41","Diablo Pizzéria Miskolc","Margaréta pizza (32cm)","1350",4.3,235,"Csabai kapu 26","Olasz","Magyaros","Vegetariánus","Pizza","Vegetáriánus","Miskolc","Miskolc Csabai kapu 26","Csabai kapu, Csermõke, Népkert, Miskolc, Miskolci járás, Borsod-Abaúj-Zemplén megye, Észak-Magyarország, Alföld és Észak, 3529, Magyarország",48.0939833,20.785703,48.1031503,20.7901985,"1.0728876747471512 km","32"
"42","Diablo Pizzéria Miskolc","Margaréta pizza (50cm)","3090",4.3,235,"Csabai kapu 26","Olasz","Magyaros","Vegetariánus","Pizza","Vegetáriánus","Miskolc","Miskolc Csabai kapu 26","Csabai kapu, Csermõke, Népkert, Miskolc, Miskolci járás, Borsod-Abaúj-Zemplén megye, Észak-Magyarország, Alföld és Észak, 3529, Magyarország",48.0939833,20.785703,48.1031503,20.7901985,"1.0728876747471512 km","50"
"43","Diablo Pizzéria Miskolc","Margaréta pizza (24cm)","990",4.3,235,"Csabai kapu 26","Olasz","Magyaros","Vegetariánus","Pizza","Vegetáriánus","Miskolc","Miskolc Csabai kapu 26","Csabai kapu, Csermõke, Népkert, Miskolc, Miskolci járás, Borsod-Abaúj-Zemplén megye, Észak-Magyarország, Alföld és Észak, 3529, Magyarország",48.0939833,20.785703,48.1031503,20.7901985,"1.0728876747471512 km","24"
"44","Dolce Vita Pizza","Margherita pizza (32cm)","2150",4.9,44,"Erkel utca 9","Olasz","Pizza","Algida","Készpénzes fizetés",NA,"Budapest","Budapest Erkel utca 9","9, Erkel utca, Belsõ-Ferencváros, IX. kerület, Budapest, Közép-Magyarország, 1092, Magyarország",47.48676695,19.0622189527671,47.4983815,19.0404707,"2.0864374130674737 km","32"
"45","Don Corleone Pizzéria","Marghareta pizza (30cm)","1470",4.7,409,"Nefelejcs u. 27","Olasz","Nemzetközi","Pizza","Algida","Készpénzes fizetés","Budapest","Budapest Nefelejcs u. 27","27, Nefelejcs utca, Ligetváros, Erzsébetváros, VII. kerület, Közép-Magyarország, 1078, Magyarország",47.5037945,19.0811959,47.4983815,19.0404707,"3.1267820495095795 km","30"
"46","Don Corleone Pizzéria","Marghareta pizza (45cm)","2750",4.7,409,"Nefelejcs u. 27","Olasz","Nemzetközi","Pizza","Algida","Készpénzes fizetés","Budapest","Budapest Nefelejcs u. 27","27, Nefelejcs utca, Ligetváros, Erzsébetváros, VII. kerület, Közép-Magyarország, 1078, Magyarország",47.5037945,19.0811959,47.4983815,19.0404707,"3.1267820495095795 km","45"
"47","Don Corleone Pizzéria","Marghareta pizza (26cm)","1240",4.7,409,"Nefelejcs u. 27","Olasz","Nemzetközi","Pizza","Algida","Készpénzes fizetés","Budapest","Budapest Nefelejcs u. 27","27, Nefelejcs utca, Ligetváros, Erzsébetváros, VII. kerület, Közép-Magyarország, 1078, Magyarország",47.5037945,19.0811959,47.4983815,19.0404707,"3.1267820495095795 km","26"
"48","Don Pepe - Kálmán Imre utca","XXL Vegán Pepe margaritája pizza normál tésztával (55cm)","5400",4.6,2009,"Kálmán Imre 23","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Budapest","Budapest Kálmán Imre 23","Kálmán Imre, Nagymezõ utca, Terézváros, Budapest, Közép-Magyarország, 1066, Magyarország",47.5039752,19.0597753,47.4983815,19.0404707,"1.5818290623808602 km","55"
