"","Restaurant","Product_Name","Price","User-Rating","No-Ratings","Address","Feature1","Feature2","Feature3","Feature4","Feature5","City","ProperAddress","Location","RestaurantLatitude","RestaurantLongitude","CenterLatitude","CenterLongitude","distance","size"
"60","Don Pepe - Pécs","Pepe margaritája pizza (32cm)","1890",4.7,875,"Megyeri út 76","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Pécs","Pécs Megyeri út 76","Pécs Pláza posta, 76, Megyeri út, Kertváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7609, Magyarország",46.0495757,18.210868,46.0763222,18.2280746,"3.257440977129086 km","32"
"61","Don Pepe - Pécs","LightCarb Pepe margaritája pizza normál tésztával (32cm)","1890",4.7,875,"Megyeri út 76","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Pécs","Pécs Megyeri út 76","Pécs Pláza posta, 76, Megyeri út, Kertváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7609, Magyarország",46.0495757,18.210868,46.0763222,18.2280746,"3.257440977129086 km","32"
"62","Don Pepe - Pécs","LightCarb Pepe margaritája pizza vékony tésztával (32cm)","1890",4.7,875,"Megyeri út 76","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Pécs","Pécs Megyeri út 76","Pécs Pláza posta, 76, Megyeri út, Kertváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7609, Magyarország",46.0495757,18.210868,46.0763222,18.2280746,"3.257440977129086 km","32"
"63","Don Pepe - Pécs","LightCarb Vegán Pepe margaritája pizza normál tésztával (32cm)","1990",4.7,875,"Megyeri út 76","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Pécs","Pécs Megyeri út 76","Pécs Pláza posta, 76, Megyeri út, Kertváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7609, Magyarország",46.0495757,18.210868,46.0763222,18.2280746,"3.257440977129086 km","32"
"64","Don Pepe - Pécs","XXL Vegán Pepe margaritája pizza normál tésztával (55cm)","5400",4.7,875,"Megyeri út 76","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Pécs","Pécs Megyeri út 76","Pécs Pláza posta, 76, Megyeri út, Kertváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7609, Magyarország",46.0495757,18.210868,46.0763222,18.2280746,"3.257440977129086 km","55"
"65","Don Pepe - Pécs","Vegán Pepe margaritája pizza vékony tésztával (32cm)","1990",4.7,875,"Megyeri út 76","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Pécs","Pécs Megyeri út 76","Pécs Pláza posta, 76, Megyeri út, Kertváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7609, Magyarország",46.0495757,18.210868,46.0763222,18.2280746,"3.257440977129086 km","32"
"66","Don Pepe - Pécs","LightCarb Vegán Pepe margaritája pizza vékony tésztával (32cm)","1990",4.7,875,"Megyeri út 76","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Pécs","Pécs Megyeri út 76","Pécs Pláza posta, 76, Megyeri út, Kertváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7609, Magyarország",46.0495757,18.210868,46.0763222,18.2280746,"3.257440977129086 km","32"
"67","Don Pepe - Pécs","XXL Pepe margaritája pizza (55cm)","5100",4.7,875,"Megyeri út 76","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Pécs","Pécs Megyeri út 76","Pécs Pláza posta, 76, Megyeri út, Kertváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7609, Magyarország",46.0495757,18.210868,46.0763222,18.2280746,"3.257440977129086 km","55"
"68","Donkey Pizza","Margherita pizza (45cm)","2800",4.7,478,"Rákóczi út 50","Pizza","Algida","Készpénzes fizetés",NA,NA,"Pécs","Pécs Rákóczi út 50","Rákóczi út, Puturluk, Budai városrész, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7626, Magyarország",46.0748645,18.2398524,46.0763222,18.2280746,"0.9253990501481445 km","45"
"69","Donkey Pizza","Margherita pizza (60cm)","3550",4.7,478,"Rákóczi út 50","Pizza","Algida","Készpénzes fizetés",NA,NA,"Pécs","Pécs Rákóczi út 50","Rákóczi út, Puturluk, Budai városrész, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7626, Magyarország",46.0748645,18.2398524,46.0763222,18.2280746,"0.9253990501481445 km","60"
"70","Donkey Pizza","Margherita pizza (32cm)","1400",4.7,478,"Rákóczi út 50","Pizza","Algida","Készpénzes fizetés",NA,NA,"Pécs","Pécs Rákóczi út 50","Rákóczi út, Puturluk, Budai városrész, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7626, Magyarország",46.0748645,18.2398524,46.0763222,18.2280746,"0.9253990501481445 km","32"
"71","Donkey Pizza","Margherita kocka pizza (60x60cm)","5100",4.7,478,"Rákóczi út 50","Pizza","Algida","Készpénzes fizetés",NA,NA,"Pécs","Pécs Rákóczi út 50","Rákóczi út, Puturluk, Budai városrész, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7626, Magyarország",46.0748645,18.2398524,46.0763222,18.2280746,"0.9253990501481445 km","60"
"72","Donkey Pizza","Margherita kocka pizza (32x32cm)","1700",4.7,478,"Rákóczi út 50","Pizza","Algida","Készpénzes fizetés",NA,NA,"Pécs","Pécs Rákóczi út 50","Rákóczi út, Puturluk, Budai városrész, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7626, Magyarország",46.0748645,18.2398524,46.0763222,18.2280746,"0.9253990501481445 km","32"
"73","Döner-Kebab Pizzéria","Margaréta pizza (45cm)","2500",4.7,520,"Mikepércsi út 10","Pizza","Magyaros","Görög","Török","Készpénzes fizetés","Debrecen","Debrecen Mikepércsi út 10","Mikepércsi út, Epreskert, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4030, Magyarország",47.5019142,21.6309493,47.531399,21.6259782,"3.2994604811186194 km","45"
"74","Döner-Kebab Pizzéria","Margaréta pizza (30cm)","1090",4.7,520,"Mikepércsi út 10","Pizza","Magyaros","Görög","Török","Készpénzes fizetés","Debrecen","Debrecen Mikepércsi út 10","Mikepércsi út, Epreskert, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4030, Magyarország",47.5019142,21.6309493,47.531399,21.6259782,"3.2994604811186194 km","30"
"75","Döner-Kebab Pizzéria","Margaréta pizza (38cm)","2090",4.7,520,"Mikepércsi út 10","Pizza","Magyaros","Görög","Török","Készpénzes fizetés","Debrecen","Debrecen Mikepércsi út 10","Mikepércsi út, Epreskert, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4030, Magyarország",47.5019142,21.6309493,47.531399,21.6259782,"3.2994604811186194 km","38"
"76","Duna Döner Szeged","Margarita pizza (30cm)","1700",4.7,450,"Oskola utca 23","Pizza","Hamburger","Grill","Török","NetPincér GO","Szeged","Szeged Oskola utca 23","Duna Döner, 23, Oskola utca, Franciahögy lakópark, Belváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6720, Magyarország",46.250014,20.1491409,46.2546312,20.1486016,"0.5149126536756814 km","30"
"77","Elefántos Étterem és Pizzéria","Margherita pizza (32cm)","1450",4.6,49,"Jókai tér 6","Pizza","Olasz","Algida","Készpénzes fizetés","SZÉP kártyás fizetés","Pécs","Pécs Jókai tér 6","Elefántos étterem és pizzéria, 6, Jókai tér, Schlauch-villatelep, Belváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7621, Magyarország",46.0756034,18.2273436,46.0763222,18.2280746,"0.09788341736701789 km","32"
"78","Enrico from Sicily","Enrico Margherita pizza (32cm)","1890",3.9,35,"Váci utca 41","Pizza","Olasz","Készpénzes fizetés","SZÉP kártyás fizetés",NA,"Budapest","Budapest Váci utca 41","Paparazzi, 41/a, Váci utca, Belváros, Budapest, Közép-Magyarország, 1056, Magyarország",47.4915752,19.0537983,47.4983815,19.0404707,"1.257435597577912 km","32"
"79","Ernesto Pizzéria - Pécs","E - Margherita pizza (32cm)","1450",4.3,66,"József Attila utca 41","Olasz","Magyaros","Hamburger","Amerikai","Pizza","Pécs","Pécs József Attila utca 41","Gól sörözõ, 41, József Attila utca, Solidus Lakópark, Ispitaalja, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7623, Magyarország",46.070713,18.215733,46.0763222,18.2280746,"1.140298312187121 km","32"
"80","Ernesto Pizzéria - Pécs","E - Margherita pizza (45cm)","2330",4.3,66,"József Attila utca 41","Olasz","Magyaros","Hamburger","Amerikai","Pizza","Pécs","Pécs József Attila utca 41","Gól sörözõ, 41, József Attila utca, Solidus Lakópark, Ispitaalja, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7623, Magyarország",46.070713,18.215733,46.0763222,18.2280746,"1.140298312187121 km","45"
"81","Ernesto Pizzéria - Pécs","E - Margherita pizza (52cm)","3160",4.3,66,"József Attila utca 41","Olasz","Magyaros","Hamburger","Amerikai","Pizza","Pécs","Pécs József Attila utca 41","Gól sörözõ, 41, József Attila utca, Solidus Lakópark, Ispitaalja, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7623, Magyarország",46.070713,18.215733,46.0763222,18.2280746,"1.140298312187121 km","52"
"82","Etna Házhozszállítás","Gluténmentes Margherita pizza (30cm)","2200",4.7,226,"Kertész utca 48","Olasz","Pizza","Ételérzékenyeknek is","Készpénzes fizetés",NA,"Budapest","Budapest Kertész utca 48","Szimpla kávézó, 48, Kertész utca, Ligetváros, Erzsébetváros, VII. kerület, Közép-Magyarország, 1073, Magyarország",47.5022659,19.0649928,47.4983815,19.0404707,"1.8973746813250858 km","30"
"83","Etna Házhozszállítás","Etna Class Margherita pizza (32cm)","2100",4.7,226,"Kertész utca 48","Olasz","Pizza","Ételérzékenyeknek is","Készpénzes fizetés",NA,"Budapest","Budapest Kertész utca 48","Szimpla kávézó, 48, Kertész utca, Ligetváros, Erzsébetváros, VII. kerület, Közép-Magyarország, 1073, Magyarország",47.5022659,19.0649928,47.4983815,19.0404707,"1.8973746813250858 km","32"
"84","Európa Pizzéria","Margherita pizza (32cm)","1690",NA,NA,"Váci utca 45","Pizza","NetPincér GO","SZÉP kártyás fizetés","Érintkezésmentes kiszállítás",NA,"Budapest","Budapest Váci utca 45","Európa Kávézó, 45, Váci utca, Belváros, Budapest, Közép-Magyarország, 1056, Magyarország",47.4909367,19.0543783,47.4983815,19.0404707,"1.3354112103205165 km","32"
"85","Fõnix Pizzéria","Margherita pizza (45cm)","2690",4.8,371,"Hunyadi utca 2","Olasz","Pizza","Készpénzes fizetés",NA,NA,"Pécs","Pécs Hunyadi utca 2","Hunyadi János utca, Zidina, Mecsekoldal, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7625, Magyarország",46.0890802,18.2240858,46.0763222,18.2280746,"1.4512630456391997 km","45"
"86","Fõnix Pizzéria","Margherita vegán pizza (32cm)","1690",4.8,371,"Hunyadi utca 2","Olasz","Pizza","Készpénzes fizetés",NA,NA,"Pécs","Pécs Hunyadi utca 2","Hunyadi János utca, Zidina, Mecsekoldal, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7625, Magyarország",46.0890802,18.2240858,46.0763222,18.2280746,"1.4512630456391997 km","32"
"87","Fõnix Pizzéria","Margherita pizza (32cm)","1690",4.8,371,"Hunyadi utca 2","Olasz","Pizza","Készpénzes fizetés",NA,NA,"Pécs","Pécs Hunyadi utca 2","Hunyadi János utca, Zidina, Mecsekoldal, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7625, Magyarország",46.0890802,18.2240858,46.0763222,18.2280746,"1.4512630456391997 km","32"
"88","Fõnix Pizzéria","Margherita pizza (60cm)","4290",4.8,371,"Hunyadi utca 2","Olasz","Pizza","Készpénzes fizetés",NA,NA,"Pécs","Pécs Hunyadi utca 2","Hunyadi János utca, Zidina, Mecsekoldal, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7625, Magyarország",46.0890802,18.2240858,46.0763222,18.2280746,"1.4512630456391997 km","60"
"89","Fries Point","Margaréta pizza (26cm)","1500",4,172,"Búza utca 6","Pizza","Magyaros","Készpénzes fizetés",NA,NA,"Budapest","Budapest Búza utca 6","Három Haver Sörözõ, 6, Búza utca, Kaszásdûlõi lakótelep, III. kerület, Budapest, Közép-Magyarország, 1033, Magyarország",47.5581132,19.0449152,47.4983815,19.0404707,"6.649466558061807 km","26"
"90","Fries Point","Margaréta pizza (32cm)","2200",4,172,"Búza utca 6","Pizza","Magyaros","Készpénzes fizetés",NA,NA,"Budapest","Budapest Búza utca 6","Három Haver Sörözõ, 6, Búza utca, Kaszásdûlõi lakótelep, III. kerület, Budapest, Közép-Magyarország, 1033, Magyarország",47.5581132,19.0449152,47.4983815,19.0404707,"6.649466558061807 km","32"
"91","Full Pizza","Margarita pizza (32cm)","1550",4.5,225,"Sarló utca 2","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Debrecen","Debrecen Sarló utca 2","Valhalla Sörözõ, 2, Sarló utca, Sámsonikert, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4028, Magyarország",47.5382002,21.6397525,47.531399,21.6259782,"1.2835118769096603 km","32"
"92","GP Ring (Grappa Pizzéria)","Margarita pizza (32cm)","1410",4.6,81,"Szaturnusz utca 2","Olasz","Pizza","Algida","Készpénzes fizetés","SZÉP kártyás fizetés","Pécs","Pécs Szaturnusz utca 2","Szaturnusz utca, Málom, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7636, Magyarország",46.0297073,18.2176781,46.0763222,18.2280746,"5.243452470671568 km","32"
"93","GP Ring (Grappa Pizzéria)","Margarita pizza (45cm)","2240",4.6,81,"Szaturnusz utca 2","Olasz","Pizza","Algida","Készpénzes fizetés","SZÉP kártyás fizetés","Pécs","Pécs Szaturnusz utca 2","Szaturnusz utca, Málom, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7636, Magyarország",46.0297073,18.2176781,46.0763222,18.2280746,"5.243452470671568 km","45"
"94","Grand Re Pizza Hungary","Margherita pizza (32cm)","1890",4.7,119,"Akácfa utca 65.","Pizza","NetPincér GO","SZÉP kártyás fizetés","Érintkezésmentes kiszállítás",NA,"Budapest","Budapest Akácfa utca 65.","65, Akácfa utca, Terézváros, VI. kerület, Budapest, Közép-Magyarország, 1073, Magyarország",47.5018885,19.063689,47.4983815,19.0404707,"1.792271797767323 km","32"
"95","Grano Pizza & Pasta & Salad","Margherita pizza (45cm)","2490",4.7,200,"Rákóczi út 71/a","Pizza","Tészta","Olasz","Tészta","Algida","Pécs","Pécs Rákóczi út 71/a","Rákóczi út, Puturluk, Budai városrész, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7626, Magyarország",46.0748645,18.2398524,46.0763222,18.2280746,"0.9253990501481445 km","45"
"96","Grano Pizza & Pasta & Salad","Margherita pizza (32cm)","1490",4.7,200,"Rákóczi út 71/a","Pizza","Tészta","Olasz","Tészta","Algida","Pécs","Pécs Rákóczi út 71/a","Rákóczi út, Puturluk, Budai városrész, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7626, Magyarország",46.0748645,18.2398524,46.0763222,18.2280746,"0.9253990501481445 km","32"
"97","Grizzly Pizzéria","G - Margherita pizza (32cm)","1460",4.7,70,"Õz utca 5","Pizza","Készpénzes fizetés",NA,NA,NA,"Pécs","Pécs Õz utca 5","Apolló pizzéria és étterem, 5, Õz utca, Solidus Lakópark, Szigeti külváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7624, Magyarország",46.07456535,18.2132904517594,46.0763222,18.2280746,"1.1602232940662367 km","32"
"98","Grizzly Pizzéria","G - Margherita pizza (45cm)","2330",4.7,70,"Õz utca 5","Pizza","Készpénzes fizetés",NA,NA,NA,"Pécs","Pécs Õz utca 5","Apolló pizzéria és étterem, 5, Õz utca, Solidus Lakópark, Szigeti külváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7624, Magyarország",46.07456535,18.2132904517594,46.0763222,18.2280746,"1.1602232940662367 km","45"
"99","Grizzly Pizzéria","G - Margherita pizza (52cm)","3160",4.7,70,"Õz utca 5","Pizza","Készpénzes fizetés",NA,NA,NA,"Pécs","Pécs Õz utca 5","Apolló pizzéria és étterem, 5, Õz utca, Solidus Lakópark, Szigeti külváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7624, Magyarország",46.07456535,18.2132904517594,46.0763222,18.2280746,"1.1602232940662367 km","52"
"100","Happy Hot Pizza Szeged","Pizza MAX - Margherita (28cm)","1890",4.8,233,"Makkosházi Körút 23","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Szeged","Szeged Makkosházi Körút 23","Happy Hot Pizzéria, 23, Makkosházi körút, Gedó, Makkosház, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6723, Magyarország",46.27281235,20.1521044836294,46.2546312,20.1486016,"2.038915736305919 km","28"
"101","Happy Hot Pizza Szeged","Pizza MAX - Margherita (45cm)","3790",4.8,233,"Makkosházi Körút 23","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Szeged","Szeged Makkosházi Körút 23","Happy Hot Pizzéria, 23, Makkosházi körút, Gedó, Makkosház, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6723, Magyarország",46.27281235,20.1521044836294,46.2546312,20.1486016,"2.038915736305919 km","45"
"102","HappyHOT Pizza DEBRECEN","PizzaMAX Margherita (45cm)","5690",4.6,419,"Bethlen utca 46","Olasz","Magyaros","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés","Debrecen","Debrecen Bethlen utca 46","46, Bethlen utca, Péterfia, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4026, Magyarország",47.53614885,21.6214221,47.531399,21.6259782,"0.6297369541119756 km","45"
"103","HappyHOT Pizza DEBRECEN","PizzaMAX Margherita (28cm)","2790",4.6,419,"Bethlen utca 46","Olasz","Magyaros","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés","Debrecen","Debrecen Bethlen utca 46","46, Bethlen utca, Péterfia, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4026, Magyarország",47.53614885,21.6214221,47.531399,21.6259782,"0.6297369541119756 km","28"
"104","Home Bistro extra","Home extra margaritája (32cm)","1490",3.6,30,"Üllõi út 121","Pizza","Reggelizõhely","Magyaros","Reggelizõhely","Készpénzes fizetés","Budapest","Budapest Üllõi út 121","Nagyvárad Gyógyszertár, 121, Üllõi út, Középsõ-Ferencváros, Budapest, Közép-Magyarország, 1091, Magyarország",47.4791363,19.0883315,47.4983815,19.0404707,"4.193694969751101 km","32"
"105","Ibolya Pizza","Margarita pizza (30cm)","1490",4.3,24,"Ferenciek tere 5","Magyaros","Pizza","NetPincér GO","SZÉP kártyás fizetés","Érintkezésmentes kiszállítás","Budapest","Budapest Ferenciek tere 5","Ibolya espresso, 5, Ferenciek tere, Belváros, Budapest, Közép-Magyarország, 1053, Magyarország",47.4922815,19.0564725,47.4983815,19.0404707,"1.3833887889540222 km","30"
"106","Il Classico Nyugati tér","Margherita pizza (32 cm)","2240",2.6,5,"Nyugati tér 6","Olasz","Pizza","NetPincér GO","SZÉP kártyás fizetés","Érintkezésmentes kiszállítás","Budapest","Budapest Nyugati tér 6","Nyugati tér, Terézváros, VI. kerület, Budapest, Közép-Magyarország, 1065, Magyarország",47.5103735,19.0556197,47.4983815,19.0404707,"1.7550393055960771 km","32"
"107","Il Terzo Cerchio Étterem Pizzéria","Margherita pizza (30cm)","3150",4.3,359,"Dohány u. 40","Olasz","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,"Budapest","Budapest Dohány u. 40","Savannah Music Club, 40, Dohány utca, Ligetváros, Erzsébetváros, VII. kerület, Közép-Magyarország, 1074, Magyarország",47.496795,19.066363,47.4983815,19.0404707,"1.9588652509611408 km","30"
"108","Il Terzo Cerchio Étterem Pizzéria","Margherita di bufala pizza (30cm)","4250",4.3,359,"Dohány u. 40","Olasz","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,"Budapest","Budapest Dohány u. 40","Savannah Music Club, 40, Dohány utca, Ligetváros, Erzsébetváros, VII. kerület, Közép-Magyarország, 1074, Magyarország",47.496795,19.066363,47.4983815,19.0404707,"1.9588652509611408 km","30"
"109","Il Terzo Cerchio Étterem Pizzéria","Margherita di bufala pizza (32cm)","3250",4.3,359,"Dohány u. 40","Olasz","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,"Budapest","Budapest Dohány u. 40","Savannah Music Club, 40, Dohány utca, Ligetváros, Erzsébetváros, VII. kerület, Közép-Magyarország, 1074, Magyarország",47.496795,19.066363,47.4983815,19.0404707,"1.9588652509611408 km","32"
"110","Il Terzo Cerchio Étterem Pizzéria","Margherita pizza (32cm)","2150",4.3,359,"Dohány u. 40","Olasz","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,"Budapest","Budapest Dohány u. 40","Savannah Music Club, 40, Dohány utca, Ligetváros, Erzsébetváros, VII. kerület, Közép-Magyarország, 1074, Magyarország",47.496795,19.066363,47.4983815,19.0404707,"1.9588652509611408 km","32"
"111","Il Treno - Trombitás","Marghareta pizza (32cm)","1790",4.5,382,"Retek utca 12","Pizza","Olasz","Készpénzes fizetés",NA,NA,"Budapest","Budapest Retek utca 12","Hunyadi Gasztromûhely, 12, Retek utca, Országút, Budapest, Közép-Magyarország, 1024, Magyarország",47.5081855,19.0247339,47.4983815,19.0404707,"1.6105163910875513 km","32"
"112","Il Treno - Trombitás","Marghareta pizza (26cm)","1590",4.5,382,"Retek utca 12","Pizza","Olasz","Készpénzes fizetés",NA,NA,"Budapest","Budapest Retek utca 12","Hunyadi Gasztromûhely, 12, Retek utca, Országút, Budapest, Közép-Magyarország, 1024, Magyarország",47.5081855,19.0247339,47.4983815,19.0404707,"1.6105163910875513 km","26"
"113","Inferno's Pizzéria","I - Margareta pizza (32cm)","1320",4.5,61,"Õz utca 5","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Pécs","Pécs Õz utca 5","Apolló pizzéria és étterem, 5, Õz utca, Solidus Lakópark, Szigeti külváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7624, Magyarország",46.07456535,18.2132904517594,46.0763222,18.2280746,"1.1602232940662367 km","32"
"114","Inferno's Pizzéria","I - Margareta pizza (45cm)","2260",4.5,61,"Õz utca 5","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Pécs","Pécs Õz utca 5","Apolló pizzéria és étterem, 5, Õz utca, Solidus Lakópark, Szigeti külváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7624, Magyarország",46.07456535,18.2132904517594,46.0763222,18.2280746,"1.1602232940662367 km","45"
"115","Inferno's Pizzéria","I - Margareta pizza (52cm)","3230",4.5,61,"Õz utca 5","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Pécs","Pécs Õz utca 5","Apolló pizzéria és étterem, 5, Õz utca, Solidus Lakópark, Szigeti külváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7624, Magyarország",46.07456535,18.2132904517594,46.0763222,18.2280746,"1.1602232940662367 km","52"
"116","Király 21 Beerhouse & Grill","Margherita pizza (32cm)","1790",4.9,57,"Király utca 21","Pizza","Olasz","Nemzetközi","Mexikói","Amerikai","Pécs","Pécs Király utca 21","Addiktológia, 21, Király utca, Zidina, Belváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7621, Magyarország",46.0771716,18.2320543,46.0763222,18.2280746,"0.3220062965873405 km","32"
"117","Király Pizza - Miskolc","Margaréta pizza (30cm)","1400",4.6,918,"Déryné utca 7","Olasz","Hamburger","Amerikai","Görög","Pizza","Miskolc","Miskolc Déryné utca 7","Déryné utca, Belváros, Miskolc, Miskolci járás, Borsod-Abaúj-Zemplén megye, Észak-Magyarország, Alföld és Észak, 3525, Magyarország",48.1041732,20.7843307,48.1031503,20.7901985,"0.45156736359875993 km","30"
"118","Király Pizza - Miskolc","Margaréta pizza (45cm)","2650",4.6,918,"Déryné utca 7","Olasz","Hamburger","Amerikai","Görög","Pizza","Miskolc","Miskolc Déryné utca 7","Déryné utca, Belváros, Miskolc, Miskolci járás, Borsod-Abaúj-Zemplén megye, Észak-Magyarország, Alföld és Észak, 3525, Magyarország",48.1041732,20.7843307,48.1031503,20.7901985,"0.45156736359875993 km","45"
"119","Király Pizza - Miskolc","Margaréta pizza (30cm) vékony tésztával","1250",4.6,918,"Déryné utca 7","Olasz","Hamburger","Amerikai","Görög","Pizza","Miskolc","Miskolc Déryné utca 7","Déryné utca, Belváros, Miskolc, Miskolci járás, Borsod-Abaúj-Zemplén megye, Észak-Magyarország, Alföld és Észak, 3525, Magyarország",48.1041732,20.7843307,48.1031503,20.7901985,"0.45156736359875993 km","30"
"120","Király Pizza Debrecen","Margaréta pizza (45cm)","2740",4.3,206,"Batthyány utca 4","Magyaros","Hamburger","Pizza","Készpénzes fizetés",NA,"Debrecen","Debrecen Batthyány utca 4","Batthyány utca, Belváros, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4024, Magyarország",47.5280455,21.6285534,47.531399,21.6259782,"0.4202585969935315 km","45"
"121","Király Pizza Debrecen","Margaréta pizza (30cm)","1420",4.3,206,"Batthyány utca 4","Magyaros","Hamburger","Pizza","Készpénzes fizetés",NA,"Debrecen","Debrecen Batthyány utca 4","Batthyány utca, Belváros, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4024, Magyarország",47.5280455,21.6285534,47.531399,21.6259782,"0.4202585969935315 km","30"
"122","Kupak Bar & Bistro","Margherita pizza (32cm)","1190",4.2,57,"Dob utca 2","Pizza","Nemzetközi","Magyaros","NetPincér GO","SZÉP kártyás fizetés","Budapest","Budapest Dob utca 2","Drum Café, 2, Dob utca, Erzsébetváros, Budapest, Közép-Magyarország, 1072, Magyarország",47.4961876,19.0588395,47.4983815,19.0404707,"1.4053716543295465 km","32"
"123","La Cipolla - Tradicionális olasz konyha","Pizza Margherita (32cm)","1790",4.7,1438,"Rózsafa utca 13","Olasz","Pizza","Algida","Készpénzes fizetés","SZÉP kártyás fizetés","Budapest","Budapest Rózsafa utca 13","13, Rózsafa utca, Lõportárdûlõ, Angyalföld, XIII. kerület, Budapest, Közép-Magyarország, 1134, Magyarország",47.52610936,19.06818778,47.4983815,19.0404707,"3.723261902746 km","32"
"124","Maestro Pizzeria - Pécs","Margherita pizza (45cm)","1990",4.5,178,"Klimó György utca 12","Pizza","Magyaros","Hamburger","Amerikai","Olasz","Pécs","Pécs Klimó György utca 12","Klimó György utca, Solidus Lakópark, Belváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7624, Magyarország",46.0767079,18.2207357,46.0763222,18.2280746,"0.569327737637427 km","45"
