restaurant,user_rating,no_ratings,address,city,restaurant_latitude,restaurant_longitude,center_latitude,center_longitude,distance_city_center,distance_ceu,margherita_pizza_price,beverage_price
Pizza Caffe Donna,4.7,170,Ráday utca 54,Budapest,47.4821377,19.0669747,47.4983815,19.0404707,2.692715328202953 km,2.442565617506169 km,1791,500
Pizza DiAngelo,4.6,212,Csongrádi sugárút 8/B,Szeged,46.2601442,20.1505599,46.2546312,20.1486016,0.6311325608131668 km,161.43223098544425 km,1770,NA
Pizza e Pasta,4.5,72,Klauzál Tér 6,Szeged,46.2520012,20.1477129,46.2546312,20.1486016,0.30026516937788045 km,162.09743706028905 km,1490,NA
Pizza EATaliano - Pest,4.3,41,Vécsey u. 5,Budapest,47.505647,19.0488386,47.4983815,19.0404707,1.024681373750218 km,0.5350397957440006 km,2300,350
Pizza Expressz Futárszolgálat,4.6,46,Szabadság utca 26,Pécs,46.0677278,18.2251568,46.0763222,18.2280746,0.9815978965780986 km,171.32314727576303 km,1250,NA
Pizza Fabbrica,4.5,97,Garay utca 30,Budapest,47.502362,19.0827824,47.4983815,19.0404707,3.2184637560274996 km,2.463365468852549 km,1690,NA
Pizza Hungarica,3.7,25,Duna utca 3,Budapest,47.4917539,19.0534548,47.4983815,19.0404707,1.2248064158084848 km,1.04877044723101 km,1590,NA
Pizza King Belváros,3.9,1484,István utca 26,Budapest,47.5054783,19.0828797,47.4983815,19.0404707,3.291110347276609 km,2.5169789910043594 km,790,NA
Pizza Király Szeged,4.7,34,Fő fasor 69/A,Szeged,46.2376377,20.1927028,46.2546312,20.1486016,3.8903944440874967 km,165.25436205084415 km,2030,NA
Pizza Love,4.8,128,József Attila sugárút 128,Szeged,46.275626,20.1653387,46.2546312,20.1486016,2.6666609900988623 km,160.55137879895648 km,1500,NA
Pizza Me Dohány utca,4.5,22,Erzsébet körút 14,Budapest,47.4989237,19.0696608,47.4983815,19.0404707,2.200168505266083 km,1.4862152950735978 km,2290,NA
Pizza Monkey Budapest,4.3,197,Kármán utca 3,Budapest,47.5091879,19.0590404,47.4983815,19.0404707,1.844107613954235 km,1.1372653532778487 km,1880,390
Pizza Piccante,4.5,7,Csapó utca 95,Debrecen,47.5369239,21.6375522,47.531399,21.6259782,1.0661920553032118 km,194.9057187264463 km,1390,350
Pizza Tú Night,4.2,7,Szondi utca 42,Budapest,47.587096450000004,19.092423726048175,47.4983815,19.0404707,10.610598372892694 km,10.095969303231568 km,2399,599
Pizza Zone Pécs,4.1,23,Szabadság utca 26,Pécs,46.0677278,18.2251568,46.0763222,18.2280746,0.9815978965780986 km,171.32314727576303 km,1350,NA
Pizzafaló Szeged,4.4,67,Vedres utca 14,Szeged,46.245335,20.156536253562052,46.2546312,20.1486016,1.2008984374195895 km,163.08198977622968 km,2070,NA
Pizzamonster,4.7,546,Sárosi utca 2,Szeged,46.2692854,20.1502093,46.2546312,20.1486016,1.6336176515180132 km,160.54727386467178 km,1770,NA
Póker Pizza Pécs,4.8,159,Megyeri út 64,Pécs,46.0607752,18.2122743,46.0763222,18.2280746,2.11675079634026 km,172.40611359548242 km,1320,350
Ponte Pizza and Restaurant,4.7,1195,Nefelejcs utca 14,Budapest,47.5024945,19.0821633,47.4983815,19.0404707,3.1743531920318246 km,2.4178429093126304 km,1890,360
Pop Art Café,4.7,157,Bihari utca 2,Debrecen,47.5177664,21.6633209,47.531399,21.6259782,3.1946643851415457 km,196.84988475156086 km,1150,350
Pörkölő extra,4.3,109,Üllői út 121,Budapest,47.4791363,19.0883315,47.4983815,19.0404707,4.193694969751101 km,3.7604397915647234 km,1990,NA
Príma Pizza,4.8,139,Ady Endre utca 9,Miskolc,48.1041107,20.79066284605096,48.1031503,20.7901985,0.11224913391423354 km,146.61408655412137 km,1350,320
Ragazzi Pizza & Burger,4,144,Lajos utca 98,Budapest,47.5330609,19.0407838,47.4983815,19.0404707,3.855758852990389 km,3.6427092702598696 km,1590,NA
Replay Café & Restaurant,4.6,45,Király utca 4,Pécs,46.0761579,18.2291534,46.0763222,18.2280746,0.08542742373811299 km,170.33779905030522 km,1790,NA
Rossita,4.8,629,Meggyesalja u. 18,Miskolc,48.101483,20.772383,48.1031503,20.7901985,1.3397460029948483 km,145.26623541333012 km,1350,490
Rudi & Fickó,4.8,26,Oroszlán utca 4,Szeged,46.2511052,20.1492005,46.2546312,20.1486016,0.3946482834349456 km,162.2416253542448 km,2190,NA
Rustica Pizzéria,4.6,40,Szentháromság utca 6,Szeged,46.2471009,20.1455791,46.2546312,20.1486016,0.8688832955636241 km,162.48250984792776 km,1440,NA
Salt and Pepper,4.8,923,Antall József utca 24,Debrecen,47.5236162,21.6233505,47.531399,21.6259782,0.8876373874478637 km,193.83606878374158 km,1790,400
Station Bistro,4.7,385,Petőfi tér 10,Debrecen,47.5210074,21.6268256,47.531399,21.6259782,1.1571105243718227 km,194.09903215487742 km,1750,390
Street Magic,4.1,197,Búza utca 6,Budapest,47.5581132,19.0449152,47.4983815,19.0404707,6.649466558061807 km,6.371245040996358 km,1690,NA
Tímár26 Pizza,4.9,207,Tímár utca 26,Pécs,46.0745592,18.2339055,46.0763222,18.2280746,0.4917949147795442 km,170.37033450888777 km,2030,NA
Trattoria La Coppola,4.5,43,Károlyi utca 19,Budapest,47.4914492,19.0578404,47.4983815,19.0404707,1.5188971314480084 km,1.2014922272152793 km,1990,NA
Trattoria Pizzeria Monza,4.1,7,Krúdy Gyula utca 2,Budapest,47.4901869,19.0668324,47.4983815,19.0404707,2.1853720807611423 km,1.732772379093565 km,1425,NA
Trattoria Toscana,4.7,98,Belgrád rakpart 13,Budapest,47.4886851,19.0545842,47.4983815,19.0404707,1.514334027104914 km,1.4004121824495017 km,2790,NA
Trattoria Za-Za,4.3,109,Ráday utca 16,Budapest,47.4875924,19.0631314,47.4983815,19.0404707,2.0867842083003314 km,1.7751049637948493 km,1290,NA
Turbó Pizza,4.7,258,Tisza Lajos Körút 59,Szeged,46.2532347,20.1452516,46.2546312,20.1486016,0.3013661555644085 km,161.88271177573876 km,1190,NA
UNI-Pizza,4.4,15,Egyetemváros A/6,Miskolc,48.0811234,20.766029,48.1031503,20.7901985,3.03978018398194 km,143.83670224896508 km,1490,NA
"Upps a la Pasta, Pizza & Bar",4.2,47,Egyetem tér 1,Debrecen,47.5556013,21.6235573,47.531399,21.6259782,2.697011172750957 km,193.87163994618447 km,1390,420
Vidocq Étterem,4,130,Lajos utca 98,Budapest,47.5330609,19.0407838,47.4983815,19.0404707,3.855758852990389 km,3.6427092702598696 km,1680,NA
Zero Street Food,4.5,97,Jókai utca 1,Szeged,46.2494411,20.1457438,46.2546312,20.1486016,0.6175671862367735 km,162.26495639141714 km,1990,NA
